dataset,model,model_size,train_type,lambda,seed,noise_type,n,wer,cer,ter,der,fcer,swdr,metric_version
vivos,phowhisper,base,ordinary_lora,0,42,clean,300,0.07446113651208361,0.03271857396404044,0.010101010101010102,0.007633587786259542,0.038157894736842106,0.0,aligned_v1
vivos,phowhisper,base,ordinary_lora,0,42,music,394,0.11992216005837995,0.06047787812964445,0.013279132791327914,0.010242587601078167,0.0804431599229287,0.005291005291005291,aligned_v1
vivos,phowhisper,base,ordinary_lora,0,42,noise,556,0.10907811400422238,0.05440339138024188,0.013953488372093023,0.006963249516441006,0.07878151260504201,0.0,aligned_v1
vivos,phowhisper,base,ordinary_lora,0,42,speech,250,0.28006522625356706,0.18791946308724833,0.026341463414634145,0.010710808179162609,0.17588769611891,0.00847457627118644,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.05,42,clean,300,0.07348138471587198,0.032795740412068834,0.009401114206128134,0.006594932315168344,0.03949967083607637,0.0,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.05,42,music,394,0.12332765750425687,0.061678289699325484,0.013885107541519195,0.00975609756097561,0.08473760231102552,0.005291005291005291,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.05,42,noise,556,0.10890218156228008,0.055691783383899254,0.013170637226418749,0.0069605568445475635,0.07880910683012259,0.0,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.05,42,speech,250,0.2535670607419486,0.16564536523684467,0.02575315840621963,0.009704027171276079,0.1676300578034682,0.00847457627118644,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.1,42,clean,300,0.07478772044415415,0.033413071996296013,0.010104529616724738,0.006944444444444444,0.038841342988808425,0.0,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.1,42,music,394,0.12113840914619314,0.060878015319538126,0.01277868406742795,0.009206607094503114,0.08377467501203659,0.005291005291005291,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.1,42,noise,556,0.1085503166783955,0.05502680686588255,0.013175741135438868,0.0069605568445475635,0.07902097902097902,0.0,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.1,42,speech,250,0.2657969832857725,0.17731738157766755,0.025765678172095283,0.009223300970873786,0.169002473206925,0.00847457627118644,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.3,42,clean,300,0.08033964728935336,0.035265066748977544,0.010157618213660246,0.00732728541521284,0.04413702239789196,0.0,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.3,42,music,394,0.1274629044028217,0.06270721390190923,0.014990460615971654,0.010032537960954447,0.08678881388621022,0.005291005291005291,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.3,42,noise,556,0.1117171006333568,0.055774905448651345,0.01338766006984866,0.006584043377226956,0.07606028741675429,0.0,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.3,42,speech,250,0.29800244598450876,0.19715980935706642,0.027450980392156862,0.00978952520802741,0.17272727272727273,0.00847457627118644,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.5,42,clean,300,0.08785107772697583,0.03873755691025542,0.01163200563976031,0.00876577840112202,0.04940711462450593,0.0,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.5,42,music,394,0.13621989783507663,0.06779467245912885,0.014580467675378267,0.012015292190060076,0.0953757225433526,0.0,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.5,42,noise,556,0.11980999296270232,0.05955695939487137,0.015618898867629832,0.007798791187365958,0.08444288717589349,0.0,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.5,42,speech,250,0.3505911129229515,0.25124015173621245,0.02593516209476309,0.01242544731610338,0.18129139072847683,0.00847457627118644,aligned_v1
vivos,phowhisper,base,zero_shot,,42,clean,300,0.08066623122142391,0.0365768963654603,0.010496850944716585,0.008362369337979094,0.043963254593175856,0.0,aligned_v1
vivos,phowhisper,base,zero_shot,,42,music,394,0.12794940403794697,0.0651080370412713,0.015019115237575096,0.011132229161010046,0.0916506717850288,0.005291005291005291,aligned_v1
vivos,phowhisper,base,zero_shot,,42,noise,556,0.11400422237860662,0.05727110261418893,0.014410905550146057,0.008349514563106796,0.07848633496846531,0.0034602076124567475,aligned_v1
vivos,phowhisper,base,zero_shot,,42,speech,250,0.26049735018344883,0.16914697013909152,0.024630541871921183,0.013267813267813268,0.16735366859027206,0.00847457627118644,aligned_v1
vivos,phowhisper,small,zero_shot,,42,clean,300,0.06335728282168518,0.02832008642642179,0.009635237439779766,0.005835907998626845,0.03162055335968379,0.0,aligned_v1
vivos,phowhisper,small,zero_shot,,42,music,394,0.08756993432254925,0.04350062878701269,0.012316561844863731,0.005235602094240838,0.06165703275529865,0.0,aligned_v1
vivos,phowhisper,small,zero_shot,,42,noise,556,0.07653061224489796,0.03698931881467936,0.00940733772342427,0.004699248120300752,0.048909218859957776,0.0,aligned_v1
vivos,phowhisper,small,zero_shot,,42,speech,250,0.13942111699959234,0.07402003696138508,0.016047684548372305,0.0077661032434901784,0.09296482412060302,0.0,aligned_v1
vivos,phowhisper,tiny,zero_shot,,42,clean,300,0.0999346832135859,0.04244154641561849,0.014973262032085561,0.009216589861751152,0.06110381077529566,0.0,aligned_v1
vivos,phowhisper,tiny,zero_shot,,42,music,394,0.17246412065190952,0.08831599405510461,0.020845231296402054,0.013045944412932501,0.12715930902111325,0.015873015873015872,aligned_v1
vivos,phowhisper,tiny,zero_shot,,42,noise,556,0.15182969739619986,0.0726486845933253,0.02062689585439838,0.011454983922829582,0.10815540777038853,0.006920415224913495,aligned_v1
vivos,phowhisper,tiny,zero_shot,,42,speech,250,0.37668161434977576,0.24803034724248613,0.03142709943328181,0.01742696053305997,0.21035332785538208,0.00847457627118644,aligned_v1
vivos,whisper,base,zero_shot,,42,clean,300,0.3726322664924886,0.18280731537927308,0.09274004683840749,0.039406583217431616,0.26461143224149003,0.013422818791946308,aligned_v1
vivos,whisper,base,zero_shot,,42,music,394,0.4636341522743858,0.24574139705041728,0.11303344867358708,0.042977743668457406,0.3361266294227188,0.021164021164021163,aligned_v1
