dataset,model,model_size,train_type,lambda,seed,snr,n,wer,cer,ter,der,fcer,swdr,metric_version
vivos,phowhisper,base,ordinary_lora,0,42,clean,300,0.07446113651208361,0.03271857396404044,0.010101010101010102,0.007633587786259542,0.038157894736842106,0.0,aligned_v1
vivos,phowhisper,base,ordinary_lora,0,42,20,300,0.08360548661005879,0.03858322401419863,0.012263489838822705,0.007334963325183374,0.04602235371466141,0.0,aligned_v1
vivos,phowhisper,base,ordinary_lora,0,42,10,300,0.10548661005878511,0.05224168531522494,0.01284796573875803,0.009236234458259326,0.06434668417596848,0.0,aligned_v1
vivos,phowhisper,base,ordinary_lora,0,42,5,300,0.1495754408883083,0.08303109807855544,0.01545253863134658,0.009527299377061194,0.09440104166666667,0.006711409395973154,aligned_v1
vivos,phowhisper,base,ordinary_lora,0,42,0,300,0.24918354016982364,0.15788255266610077,0.02454473475851148,0.009101701622477245,0.18682021753039027,0.006711409395973154,aligned_v1
vivos,phowhisper,base,ordinary_lora,0,42,noisy_all,1200,0.14696276943174397,0.08293464001851995,0.016055045871559634,0.008779952441924272,0.09848608171902978,0.003355704697986577,aligned_v1
vivos,phowhisper,base,ordinary_lora,0,42,all,1500,0.1324624428478119,0.07289142680762405,0.014813739016774382,0.008540822235089751,0.0865196398277437,0.0026845637583892616,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.05,42,clean,300,0.07348138471587198,0.032795740412068834,0.009401114206128134,0.006594932315168344,0.03949967083607637,0.0,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.05,42,20,300,0.08458523840627041,0.039432054942510994,0.012280701754385965,0.007000350017500875,0.04602235371466141,0.0,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.05,42,10,300,0.1038536903984324,0.05162435373099776,0.012121212121212121,0.008167613636363636,0.06369008535784636,0.0,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.05,42,5,300,0.14598301763553234,0.08017593950150474,0.016886930983847283,0.009147457006952067,0.0938722294654498,0.006711409395973154,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.05,42,0,300,0.2364467668190725,0.14684775059803998,0.022664015904572565,0.009535160905840286,0.18722044728434506,0.006711409395973154,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.05,42,noisy_all,1200,0.14271717831482691,0.07952002469326337,0.015788507435285478,0.008422594525313559,0.0983232948070975,0.003355704697986577,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.05,42,all,1500,0.1288700195950359,0.07017516783702446,0.014455905855005086,0.008041147493480151,0.08666144609762465,0.0026845637583892616,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.1,42,clean,300,0.07478772044415415,0.033413071996296013,0.010104529616724738,0.006944444444444444,0.038841342988808425,0.0,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.1,42,20,300,0.0852384062704115,0.03920055559842581,0.011243851018973999,0.0070028011204481795,0.04739960500329164,0.0,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.1,42,10,300,0.10222077073807968,0.051084188594798983,0.011404133998574484,0.007809726659566915,0.06295081967213115,0.0,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.1,42,5,300,0.15022860875244937,0.084497260591095,0.016886930983847283,0.009147457006952067,0.0938722294654498,0.006711409395973154,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.1,42,0,300,0.23938602220770738,0.15024307431128944,0.023015873015873017,0.008733624454148471,0.18638676844783714,0.006711409395973154,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.1,42,noisy_all,1200,0.14426845199216198,0.08125626977390231,0.015418502202643172,0.00814645308924485,0.0983739837398374,0.003355704697986577,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.1,42,all,1500,0.13037230568256042,0.07168763021838105,0.014310620369025135,0.007895689967403115,0.08658234450384665,0.0026845637583892616,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.3,42,clean,300,0.08033964728935336,0.035265066748977544,0.010157618213660246,0.00732728541521284,0.04413702239789196,0.0,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.3,42,20,300,0.08981058131939909,0.04159271548730612,0.01267605633802817,0.007713884992987377,0.04805793285055958,0.0,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.3,42,10,300,0.10418027433050293,0.05193301952311135,0.011760513186029936,0.008507621410847217,0.05847568988173456,0.0,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.3,42,5,300,0.1541476159372959,0.08650358823983333,0.01698043558508675,0.00919793966151582,0.10409889394925179,0.006711409395973154,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.3,42,0,300,0.2691051600261267,0.16459603364457134,0.025917065390749602,0.007987220447284345,0.18216805644644002,0.006711409395973154,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.3,42,noisy_all,1200,0.15431090790333116,0.08615633922370554,0.016570008285004142,0.008352455254703992,0.09874531530063549,0.003355704697986577,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.3,42,all,1500,0.1395166557805356,0.07597808472875993,0.015235457063711912,0.008138943390741952,0.08791639451338994,0.0026845637583892616,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.5,42,clean,300,0.08785107772697583,0.03873755691025542,0.01163200563976031,0.00876577840112202,0.04940711462450593,0.0,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.5,42,20,300,0.0999346832135859,0.0449108727525272,0.01245995016019936,0.009206798866855524,0.05456936226166995,0.0,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.5,42,10,300,0.11234487263226649,0.05594567482058801,0.013993541442411194,0.010357142857142856,0.07025607353906763,0.0,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.5,42,5,300,0.17015022860875245,0.09568639555521259,0.018297236743838687,0.011519881085098476,0.11060507482108002,0.0,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.5,42,0,300,0.3037230568256042,0.20487691951539472,0.02491961414790997,0.009244372990353697,0.1913937058445729,0.006711409395973154,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.5,42,noisy_all,1200,0.17153821032005226,0.10035496566093063,0.017190113361828657,0.010089789873183375,0.10720104268491365,0.0016778523489932886,aligned_v1
vivos,phowhisper,base,tone_aware_lora,0.5,42,all,1500,0.15480078380143697,0.08803148391079559,0.016030590484594456,0.009813255217868912,0.09574190177638453,0.0013422818791946308,aligned_v1
vivos,phowhisper,base,zero_shot,,42,clean,300,0.08066623122142391,0.0365768963654603,0.010496850944716585,0.008362369337979094,0.043963254593175856,0.0,aligned_v1
vivos,phowhisper,base,zero_shot,,42,20,300,0.0852384062704115,0.03796589242997145,0.013342696629213483,0.008391608391608392,0.048556430446194225,0.006711409395973154,aligned_v1
vivos,phowhisper,base,zero_shot,,42,10,300,0.10418027433050293,0.05239601821128174,0.011424491253123885,0.010649627263045794,0.06221349050425671,0.0,aligned_v1
vivos,phowhisper,base,zero_shot,,42,5,300,0.15284128020901372,0.08488309283123698,0.017452655031563312,0.010362694300518135,0.10194805194805195,0.006711409395973154,aligned_v1
vivos,phowhisper,base,zero_shot,,42,0,300,0.24983670803396474,0.15317539933636853,0.024949698189134808,0.011651265568501407,0.18717948717948718,0.006711409395973154,aligned_v1
vivos,phowhisper,base,zero_shot,,42,noisy_all,1200,0.14802416721097322,0.08210510070221468,0.016532742218527754,0.01021347073978653,0.10047146805397496,0.0050335570469798654,aligned_v1
vivos,phowhisper,base,zero_shot,,42,all,1500,0.13455258001306336,0.0729994598348638,0.015272195834855682,0.009826757897801719,0.08925081433224756,0.004026845637583893,aligned_v1
vivos,phowhisper,small,zero_shot,,42,clean,300,0.06335728282168518,0.02832008642642179,0.009635237439779766,0.005835907998626845,0.03162055335968379,0.0,aligned_v1
vivos,phowhisper,small,zero_shot,,42,20,300,0.0659699542782495,0.03032641407516012,0.009665170866413532,0.005511539786427834,0.037549407114624504,0.0,aligned_v1
vivos,phowhisper,small,zero_shot,,42,10,300,0.0689092096668844,0.030403580523188516,0.010034602076124567,0.005522954780807732,0.03491436100131752,0.0,aligned_v1
