dataset,model,model_size,train_type,lambda,seed,n_utterances,n_ref_tokens,n_hyp_tokens,n_events,matches,substitutions,deletions,insertions,word_errors,word_error_rate,tone_eligible,tone_errors,tone_error_rate,diacritic_eligible,diacritic_errors,diacritic_error_rate,final_consonant_eligible,final_consonant_errors,final_consonant_error_rate
vivos,phowhisper,base,ordinary_lora,0,42,1500,15310,15509,15587,13559,1673,78,277,2028,0.132462442848,13771,204,0.014813739017,13816,118,0.008540822235,7663,663,0.086519639828
vivos,phowhisper,base,tone_aware_lora,0.05,42,1500,15310,15454,15532,13559,1673,78,222,1973,0.128870019595,13766,199,0.014455905855,13804,111,0.008041147493,7662,664,0.086661446098
vivos,phowhisper,base,tone_aware_lora,0.1,42,1500,15310,15482,15557,13561,1674,75,247,1996,0.130372305683,13766,197,0.014310620369,13805,109,0.007895689967,7669,664,0.086582344504
vivos,phowhisper,base,tone_aware_lora,0.3,42,1500,15310,15562,15636,13500,1736,74,326,2136,0.139516655781,13718,209,0.015235457064,13761,112,0.008138943391,7655,673,0.087916394513
vivos,phowhisper,base,tone_aware_lora,0.5,42,1500,15310,15659,15742,13372,1855,83,432,2370,0.154800783801,13599,218,0.016030590485,13655,134,0.009813255218,7656,733,0.095741901776
vivos,phowhisper,base,zero_shot,,42,1500,15310,15438,15525,13465,1758,87,215,2060,0.134552580013,13685,209,0.015272195835,13738,135,0.009826757898,7675,685,0.089250814332
vivos,phowhisper,small,zero_shot,,42,1500,15310,15318,15378,14047,1203,60,68,1331,0.086936642717,14218,160,0.011253340836,14242,79,0.005546973740,7630,426,0.055832241153
vivos,phowhisper,tiny,zero_shot,,42,1500,15310,15626,15713,12911,2312,87,403,2802,0.183017635532,13193,278,0.021071780490,13274,163,0.012279644418,7680,923,0.120182291667
vivos,whisper,base,zero_shot,,42,1500,15310,15669,16121,8554,6304,452,811,7567,0.494252122796,9671,1117,0.115499948299,9597,374,0.038970511618,7924,2728,0.344270570419
vivos,whisper,small,zero_shot,,42,1500,15310,15676,16004,11049,3933,328,694,4955,0.323644676682,11853,804,0.067830928879,11795,265,0.022467147096,7771,1632,0.210011581521
vivos,whisper,tiny,zero_shot,,42,1500,15310,17500,17890,6580,8340,390,2580,11310,0.738732854344,7718,1138,0.147447525266,7828,496,0.063362289218,8223,3656,0.444606591268
