metric_version,dataset,model,model_size,train_type,lambda,seed,group_type,group_value,ref_coda,hyp_coda,count,ref_total,row_rate
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,none,none,0,93,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,none,n,28,93,0.301075268817
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,none,ng,25,93,0.268817204301
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,none,nh,6,93,0.064516129032
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,none,t,8,93,0.086021505376
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,none,c,12,93,0.129032258065
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,none,ch,1,93,0.010752688172
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,none,m,10,93,0.107526881720
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,none,p,3,93,0.032258064516
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,n,none,44,1910,0.023036649215
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,n,n,1778,1910,0.930890052356
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,n,ng,53,1910,0.027748691099
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,n,nh,12,1910,0.006282722513
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,n,t,7,1910,0.003664921466
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,n,c,1,1910,0.000523560209
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,n,ch,2,1910,0.001047120419
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,n,m,12,1910,0.006282722513
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,n,p,1,1910,0.000523560209
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,none,37,1965,0.018829516539
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,n,48,1965,0.024427480916
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,ng,1846,1965,0.939440203562
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,nh,13,1965,0.006615776081
