metric_version,dataset,model,model_size,train_type,lambda,seed,group_type,group_value,ref_coda,hyp_coda,count,ref_total,row_rate
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,none,none,0,400,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,none,n,123,400,0.307500000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,none,ng,33,400,0.082500000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,none,nh,19,400,0.047500000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,none,t,81,400,0.202500000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,none,c,32,400,0.080000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,none,ch,5,400,0.012500000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,none,m,94,400,0.235000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,none,p,13,400,0.032500000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,n,none,66,3214,0.020535158681
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,n,n,3006,3214,0.935283136279
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,n,ng,102,3214,0.031736154325
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,n,nh,28,3214,0.008711885501
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,n,t,6,3214,0.001866832607
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,n,c,2,3214,0.000622277536
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,n,ch,0,3214,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,n,m,4,3214,0.001244555072
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,n,p,0,3214,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,none,39,3282,0.011882998172
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,n,80,3282,0.024375380865
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,ng,3123,3282,0.951553930530
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,nh,9,3282,0.002742230347
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,t,1,3282,0.000304692261
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,c,2,3282,0.000609384522
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,ch,0,3282,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,m,27,3282,0.008226691042
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,p,1,3282,0.000304692261
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nh,none,8,971,0.008238928939
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nh,n,17,971,0.017507723996
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nh,ng,2,971,0.002059732235
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nh,nh,938,971,0.966014418126
