metric_version,dataset,model,model_size,train_type,lambda,seed,group_type,group_value,ref_tone,hyp_tone,count,ref_total,row_rate
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ngang,ngang,5684,5701,0.997018067006
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ngang,sac,8,5701,0.001403262586
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ngang,huyen,5,5701,0.000877039116
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ngang,hoi,0,5701,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ngang,nga,0,5701,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ngang,nang,4,5701,0.000701631293
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,sac,ngang,8,5315,0.001505174036
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,sac,sac,5303,5315,0.997742238946
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,sac,huyen,0,5315,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,sac,hoi,2,5315,0.000376293509
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,sac,nga,1,5315,0.000188146754
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,sac,nang,1,5315,0.000188146754
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,huyen,ngang,4,4455,0.000897867565
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,huyen,sac,0,4455,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,huyen,huyen,4436,4455,0.995735129068
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,huyen,hoi,0,4455,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,huyen,nga,1,4455,0.000224466891
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,huyen,nang,14,4455,0.003142536476
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,hoi,ngang,5,2547,0.001963093836
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,hoi,sac,10,2547,0.003926187672
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,hoi,huyen,0,2547,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,hoi,hoi,2518,2547,0.988614055752
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,hoi,nga,8,2547,0.003140950137
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,hoi,nang,6,2547,0.002355712603
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nga,ngang,2,1169,0.001710863986
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nga,sac,0,1169,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nga,huyen,1,1169,0.000855431993
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nga,hoi,15,1169,0.012831479897
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nga,nga,1150,1169,0.983746792130
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nga,nang,1,1169,0.000855431993
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nang,ngang,3,3953,0.000758917278
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nang,sac,3,3953,0.000758917278
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nang,huyen,11,3953,0.002782696686
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nang,hoi,22,3953,0.005565393372
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nang,nga,3,3953,0.000758917278
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nang,nang,3911,3953,0.989375158108
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,ngang,ngang,5659,5675,0.997180616740
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,ngang,sac,7,5675,0.001233480176
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,ngang,huyen,3,5675,0.000528634361
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,ngang,hoi,0,5675,0.000000000000
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,ngang,nga,1,5675,0.000176211454
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,ngang,nang,5,5675,0.000881057269
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,sac,ngang,8,5303,0.001508580049
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,sac,sac,5291,5303,0.997737129926
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,sac,huyen,0,5303,0.000000000000
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,sac,hoi,2,5303,0.000377145012
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,sac,nga,1,5303,0.000188572506
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,sac,nang,1,5303,0.000188572506
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,huyen,ngang,4,4461,0.000896659942
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,huyen,sac,0,4461,0.000000000000
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,huyen,huyen,4442,4461,0.995740865277
aligned_v1,fleurs,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,huyen,hoi,0,4461,0.000000000000
