model                     , condition, n  , wer                , cer                , ter_simple          , der_simple          , fcer_simple         , swdr_simple
Whisper-base zero-shot    , clean    ,  30, 0.4306049822064057 , 0.19607843137254902, 0.2313167259786477  , 0.12222222222222222 , 0.22784810126582278 , 0.043478260869565216
Whisper-base zero-shot    , noisy_all, 120, 0.4804270462633452 , 0.2369281045751634 , 0.2606761565836299  , 0.10559006211180125 , 0.30537974683544306 , 0.03260869565217391
Whisper-base zero-shot    , snr_20   ,  30, 0.43416370106761565, 0.20098039215686275, 0.2099644128113879  , 0.1016949152542373  , 0.24050632911392406 , 0.0
Whisper-base zero-shot    , snr_10   ,  30, 0.498220640569395  , 0.2426470588235294 , 0.2526690391459075  , 0.09032258064516129 , 0.3227848101265823  , 0.043478260869565216
Whisper-base zero-shot    , snr_5    ,  30, 0.45907473309608543, 0.22549019607843138, 0.2597864768683274  , 0.10778443113772455 , 0.3037974683544304  , 0.043478260869565216
Whisper-base zero-shot    , snr_0    ,  30, 0.5302491103202847 , 0.2785947712418301 , 0.3202846975088968  , 0.12413793103448276 , 0.35443037974683544 , 0.043478260869565216
PhoWhisper-base zero-shot , clean    ,  30, 0.08185053380782918, 0.04656862745098039, 0.02491103202846975 , 0.003937007874015748, 0.04430379746835443 , 0.0
PhoWhisper-base zero-shot , noisy_all, 120, 0.11832740213523131, 0.06413398692810457, 0.03291814946619217 , 0.007106598984771574, 0.060126582278481014, 0.0
PhoWhisper-base zero-shot , snr_20   ,  30, 0.08896797153024912, 0.04820261437908497, 0.028469750889679714, 0.011811023622047244, 0.04430379746835443 , 0.0
PhoWhisper-base zero-shot , snr_10   ,  30, 0.09252669039145907, 0.05473856209150327, 0.028469750889679714, 0.003968253968253968, 0.05063291139240506 , 0.0
PhoWhisper-base zero-shot , snr_5    ,  30, 0.11743772241992882, 0.06535947712418301, 0.028469750889679714, 0.0                 , 0.056962025316455694, 0.0
PhoWhisper-base zero-shot , snr_0    ,  30, 0.17437722419928825, 0.08823529411764706, 0.046263345195729534, 0.012987012987012988, 0.08860759493670886 , 0.0
PhoWhisper tone-aware LoRA, clean    ,  30, 0.09252669039145907, 0.04493464052287582, 0.014234875444839857, 0.0                 , 0.05063291139240506 , 0.0
PhoWhisper tone-aware LoRA, noisy_all, 120, 0.11387900355871886, 0.05821078431372549, 0.027580071174377226, 0.007021063189568706, 0.060126582278481014, 0.0
PhoWhisper tone-aware LoRA, snr_20   ,  30, 0.09608540925266904, 0.04820261437908497, 0.017793594306049824, 0.011673151750972763, 0.0379746835443038  , 0.0
PhoWhisper tone-aware LoRA, snr_10   ,  30, 0.099644128113879  , 0.05473856209150327, 0.014234875444839857, 0.0                 , 0.05063291139240506 , 0.0
PhoWhisper tone-aware LoRA, snr_5    ,  30, 0.1103202846975089 , 0.059640522875817  , 0.046263345195729534, 0.008130081300813009, 0.06962025316455696 , 0.0
PhoWhisper tone-aware LoRA, snr_0    ,  30, 0.1494661921708185 , 0.07026143790849673, 0.03202846975088968 , 0.008298755186721992, 0.08227848101265822 , 0.0
