dataset,model,model_size,train_type,lambda,seed,noise_type,n,wer,cer,ter,der,fcer,swdr,metric_version,prediction_sha256,benchmark_manifest_sha256,benchmark_manifest_format,wer_numerator,wer_denominator,cer_numerator,cer_denominator,ter_numerator,ter_denominator,der_numerator,der_denominator,fcer_numerator,fcer_denominator,swdr_numerator,swdr_denominator,ter_coverage,der_coverage,fcer_coverage
vivos,phowhisper,base,ordinary_lora,0,42,clean,460,0.08626609442060086,0.03886533414092469,0.01178373382624769,0.008957280661460726,0.049436253252385085,0.004405286343612335,aligned_v1,7e946a83a65c621d5440aa46923cd6526cb0126fa74e86bebe030b94b39d3e88,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,402,4660,770,19812,51,4328,39,4354,114,2306,1,227,0.9287553648068669,0.9343347639484979,0.49484978540772534
vivos,phowhisper,base,ordinary_lora,0,42,music,582,0.12827090815802974,0.06435125563425628,0.015570934256055362,0.00936723379850889,0.08958755916159568,0.0,aligned_v1,7e946a83a65c621d5440aa46923cd6526cb0126fa74e86bebe030b94b39d3e88,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,750,5847,1599,24848,81,5202,49,5231,265,2958,0,286,0.8896870189840944,0.8946468274328716,0.5059004617752694
vivos,phowhisper,base,ordinary_lora,0,42,noise,837,0.12609559425032138,0.06242964996568291,0.015543364681295717,0.011401917595231926,0.07710390220968501,0.007211538461538462,aligned_v1,7e946a83a65c621d5440aa46923cd6526cb0126fa74e86bebe030b94b39d3e88,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,1079,8557,2274,36425,119,7656,88,7718,328,4254,3,416,0.8947060885824472,0.9019516185579058,0.49713684702582683
vivos,phowhisper,base,ordinary_lora,0,42,speech,421,0.19428706326723325,0.116884561891516,0.022752497225305215,0.0077907623817473565,0.1538095238095238,0.0048543689320388345,aligned_v1,7e946a83a65c621d5440aa46923cd6526cb0126fa74e86bebe030b94b39d3e88,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,823,4236,2101,17975,82,3604,28,3594,323,2100,1,206,0.8508026440037771,0.8484419263456091,0.49575070821529743
vivos,phowhisper,base,tone_aware_lora,0.05,42,clean,460,0.08369098712446352,0.038612961841308295,0.011748445058742226,0.008020164986251146,0.04854789770264413,0.004405286343612335,aligned_v1,65f0e0fbc62aee74c35e2a5e224feef155dc9cc6422b34f33ab5744db9dfde9c,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,390,4660,765,19812,51,4341,35,4364,112,2307,1,227,0.9315450643776824,0.936480686695279,0.4950643776824034
vivos,phowhisper,base,tone_aware_lora,0.05,42,music,582,0.12912604754574997,0.06338538312942692,0.017287744909719554,0.00974025974025974,0.08629441624365482,0.0,aligned_v1,65f0e0fbc62aee74c35e2a5e224feef155dc9cc6422b34f33ab5744db9dfde9c,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,755,5847,1575,24848,90,5206,51,5236,255,2955,0,286,0.8903711304942705,0.8955019668205918,0.5053873781426372
vivos,phowhisper,base,tone_aware_lora,0.05,42,noise,837,0.1266799111838261,0.06179821551132464,0.015669887699138157,0.01075965776510241,0.07634484378670425,0.007211538461538462,aligned_v1,65f0e0fbc62aee74c35e2a5e224feef155dc9cc6422b34f33ab5744db9dfde9c,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,1084,8557,2251,36425,120,7658,83,7714,325,4257,3,416,0.894939815355849,0.9014841650111021,0.49748743718592964
vivos,phowhisper,base,tone_aware_lora,0.05,42,speech,421,0.18838526912181303,0.11031988873435326,0.024444444444444446,0.008356545961002786,0.15102429728442116,0.0048543689320388345,aligned_v1,65f0e0fbc62aee74c35e2a5e224feef155dc9cc6422b34f33ab5744db9dfde9c,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,798,4236,1983,17975,88,3600,30,3590,317,2099,1,206,0.8498583569405099,0.8474976392823418,0.4955146364494806
vivos,phowhisper,base,tone_aware_lora,0.1,42,clean,460,0.08648068669527897,0.03926912982031092,0.011786457129651028,0.009412304866850322,0.04856895056374675,0.004405286343612335,aligned_v1,b2e70f3a5d6294f622ed8eca1f7eb50b4afad9c1638e320c38ec46c9abf84636,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,403,4660,778,19812,51,4327,41,4356,112,2306,1,227,0.9285407725321888,0.934763948497854,0.49484978540772534
vivos,phowhisper,base,tone_aware_lora,0.1,42,music,582,0.13083632632119035,0.06455247907276239,0.018069973087274125,0.00974770642201835,0.08961785593506932,0.0,aligned_v1,b2e70f3a5d6294f622ed8eca1f7eb50b4afad9c1638e320c38ec46c9abf84636,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,765,5847,1604,24848,94,5202,51,5232,265,2957,0,286,0.8896870189840944,0.8948178553104156,0.5057294338977253
vivos,phowhisper,base,tone_aware_lora,0.1,42,noise,837,0.1279654084375365,0.06292381606039808,0.015951882845188285,0.010903426791277258,0.0767785865226579,0.007211538461538462,aligned_v1,b2e70f3a5d6294f622ed8eca1f7eb50b4afad9c1638e320c38ec46c9abf84636,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,1095,8557,2292,36425,122,7648,84,7704,327,4259,3,416,0.8937711814888395,0.9003155311440926,0.4977211639593315
vivos,phowhisper,base,tone_aware_lora,0.1,42,speech,421,0.18791312559017942,0.10776077885952712,0.023132664437012264,0.00864472950362521,0.15069146399618502,0.0048543689320388345,aligned_v1,b2e70f3a5d6294f622ed8eca1f7eb50b4afad9c1638e320c38ec46c9abf84636,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,796,4236,1937,17975,83,3588,31,3586,316,2097,1,206,0.8470254957507082,0.8465533522190746,0.495042492917847
vivos,phowhisper,base,zero_shot,,42,clean,460,0.08798283261802575,0.038612961841308295,0.013638465094775775,0.009184845005740528,0.04598698481561822,0.004405286343612335,aligned_v1,50c9573886aa391fdaea91679c45ac4449671e14c7095f4d0f8df41dc28f59e9,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,410,4660,765,19812,59,4326,40,4355,106,2305,1,227,0.9283261802575107,0.9345493562231759,0.4946351931330472
vivos,phowhisper,base,zero_shot,,42,music,582,0.13545407901487944,0.06753058596265293,0.01666020922123208,0.00943577893317928,0.09235453315290934,0.0,aligned_v1,50c9573886aa391fdaea91679c45ac4449671e14c7095f4d0f8df41dc28f59e9,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,792,5847,1678,24848,86,5162,49,5193,273,2956,0,286,0.8828459038823329,0.888147768086198,0.5055584060201813
vivos,phowhisper,base,zero_shot,,42,noise,837,0.1299520860114526,0.06380233356211393,0.014966522252855455,0.011335504885993485,0.08135433811427228,0.009615384615384616,aligned_v1,50c9573886aa391fdaea91679c45ac4449671e14c7095f4d0f8df41dc28f59e9,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,1112,8557,2324,36425,114,7617,87,7675,346,4253,4,416,0.8901484165011102,0.8969264929297651,0.49701998363912586
