dataset,model,model_size,train_type,lambda,seed,snr,n,wer,cer,ter,der,fcer,swdr,metric_version,prediction_sha256,benchmark_manifest_sha256,benchmark_manifest_format,wer_numerator,wer_denominator,cer_numerator,cer_denominator,ter_numerator,ter_denominator,der_numerator,der_denominator,fcer_numerator,fcer_denominator,swdr_numerator,swdr_denominator,ter_coverage,der_coverage,fcer_coverage
vivos,phowhisper,base,ordinary_lora,0,42,clean,460,0.08626609442060086,0.03886533414092469,0.01178373382624769,0.008957280661460726,0.049436253252385085,0.004405286343612335,aligned_v1,7e946a83a65c621d5440aa46923cd6526cb0126fa74e86bebe030b94b39d3e88,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,402,4660,770,19812,51,4328,39,4354,114,2306,1,227,0.9287553648068669,0.9343347639484979,0.49484978540772534
vivos,phowhisper,base,ordinary_lora,0,42,20,460,0.0851931330472103,0.03896628306077125,0.011767420396862021,0.008262565985770026,0.049023861171366596,0.004405286343612335,aligned_v1,7e946a83a65c621d5440aa46923cd6526cb0126fa74e86bebe030b94b39d3e88,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,397,4660,772,19812,51,4334,36,4357,113,2305,1,227,0.9300429184549356,0.9349785407725322,0.4946351931330472
vivos,phowhisper,base,ordinary_lora,0,42,10,460,0.10493562231759657,0.04966686856450636,0.01408781404085466,0.008646880112175742,0.06493506493506493,0.004405286343612335,aligned_v1,7e946a83a65c621d5440aa46923cd6526cb0126fa74e86bebe030b94b39d3e88,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,489,4660,984,19812,60,4259,37,4279,150,2310,1,227,0.9139484978540773,0.9182403433476395,0.4957081545064378
vivos,phowhisper,base,ordinary_lora,0,42,5,460,0.13025751072961372,0.06758530183727034,0.016117392350252585,0.009801577814965335,0.08566508824795523,0.004405286343612335,aligned_v1,7e946a83a65c621d5440aa46923cd6526cb0126fa74e86bebe030b94b39d3e88,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,607,4660,1339,19812,67,4157,41,4183,199,2323,1,227,0.8920600858369099,0.8976394849785407,0.4984978540772532
vivos,phowhisper,base,ordinary_lora,0,42,0,460,0.24871244635193132,0.14531597011911973,0.028017241379310345,0.013694951664876477,0.19123841617523168,0.004405286343612335,aligned_v1,7e946a83a65c621d5440aa46923cd6526cb0126fa74e86bebe030b94b39d3e88,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,1159,4660,2879,19812,104,3712,51,3724,454,2374,1,227,0.7965665236051502,0.7991416309012875,0.5094420600858369
vivos,phowhisper,base,ordinary_lora,0,42,noisy_all,1840,0.14227467811158798,0.07538360589541691,0.017130360831004738,0.009974007132926314,0.09836769759450172,0.004405286343612335,aligned_v1,7e946a83a65c621d5440aa46923cd6526cb0126fa74e86bebe030b94b39d3e88,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,2652,18640,5974,79248,282,16462,165,16543,916,9312,4,908,0.8831545064377683,0.8875,0.4995708154506438
vivos,phowhisper,base,ordinary_lora,0,42,all,2300,0.13107296137339056,0.06807995154451847,0.016017316017316017,0.00976216681820357,0.08865553451540713,0.004405286343612335,aligned_v1,7e946a83a65c621d5440aa46923cd6526cb0126fa74e86bebe030b94b39d3e88,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,3054,23300,6744,99060,333,20790,204,20897,1030,11618,5,1135,0.892274678111588,0.8968669527896995,0.4986266094420601
vivos,phowhisper,base,tone_aware_lora,0.05,42,clean,460,0.08369098712446352,0.038612961841308295,0.011748445058742226,0.008020164986251146,0.04854789770264413,0.004405286343612335,aligned_v1,65f0e0fbc62aee74c35e2a5e224feef155dc9cc6422b34f33ab5744db9dfde9c,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,390,4660,765,19812,51,4341,35,4364,112,2307,1,227,0.9315450643776824,0.936480686695279,0.4950643776824034
vivos,phowhisper,base,tone_aware_lora,0.05,42,20,460,0.08540772532188841,0.03937007874015748,0.011992619926199263,0.008258774948382657,0.04811443433029909,0.004405286343612335,aligned_v1,65f0e0fbc62aee74c35e2a5e224feef155dc9cc6422b34f33ab5744db9dfde9c,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,398,4660,780,19812,52,4336,36,4359,111,2307,1,227,0.9304721030042918,0.9354077253218884,0.4950643776824034
vivos,phowhisper,base,tone_aware_lora,0.05,42,10,460,0.10622317596566523,0.04901070058550373,0.015044663845792195,0.008654970760233919,0.06147186147186147,0.004405286343612335,aligned_v1,65f0e0fbc62aee74c35e2a5e224feef155dc9cc6422b34f33ab5744db9dfde9c,89712f4873a6de7fb84f912d2380419fc48f56c7499ebed5f62528c749a2a146,jsonl,495,4660,971,19812,64,4254,37,4275,142,2310,1,227,0.9128755364806866,0.9173819742489271,0.4957081545064378
