metric_version,dataset,model,model_size,train_type,lambda,seed,group_type,group_value,ref_coda,hyp_coda,count,ref_total,row_rate
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,none,none,0,128,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,none,n,38,128,0.296875000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,none,ng,35,128,0.273437500000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,none,nh,6,128,0.046875000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,none,t,17,128,0.132812500000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,none,c,10,128,0.078125000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,none,ch,2,128,0.015625000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,none,m,15,128,0.117187500000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,none,p,5,128,0.039062500000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,n,none,68,3035,0.022405271829
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,n,n,2826,3035,0.931136738056
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,n,ng,92,3035,0.030313014827
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,n,nh,26,3035,0.008566721582
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,n,t,5,3035,0.001647446458
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,n,c,4,3035,0.001317957166
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,n,ch,0,3035,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,n,m,14,3035,0.004612850082
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,n,p,0,3035,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,none,68,3020,0.022516556291
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,n,85,3020,0.028145695364
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,ng,2817,3020,0.932781456954
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,nh,17,3020,0.005629139073
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,t,5,3020,0.001655629139
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,c,8,3020,0.002649006623
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,ch,0,3020,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,m,14,3020,0.004635761589
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,p,6,3020,0.001986754967
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,nh,none,14,895,0.015642458101
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,nh,n,43,895,0.048044692737
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,nh,ng,13,895,0.014525139665
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,nh,nh,818,895,0.913966480447
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,nh,t,2,895,0.002234636872
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,nh,c,0,895,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,nh,ch,0,895,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,nh,m,4,895,0.004469273743
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,nh,p,1,895,0.001117318436
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,t,none,31,1400,0.022142857143
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,t,n,12,1400,0.008571428571
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,t,ng,6,1400,0.004285714286
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,t,nh,2,1400,0.001428571429
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,t,t,1244,1400,0.888571428571
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,t,c,86,1400,0.061428571429
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,t,ch,7,1400,0.005000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,t,m,1,1400,0.000714285714
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,t,p,11,1400,0.007857142857
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,c,none,27,1400,0.019285714286
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,c,n,8,1400,0.005714285714
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,c,ng,17,1400,0.012142857143
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,c,nh,0,1400,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,c,t,42,1400,0.030000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,c,c,1286,1400,0.918571428571
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,c,ch,6,1400,0.004285714286
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,c,m,2,1400,0.001428571429
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,c,p,12,1400,0.008571428571
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ch,none,13,235,0.055319148936
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ch,n,2,235,0.008510638298
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ch,ng,1,235,0.004255319149
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ch,nh,2,235,0.008510638298
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ch,t,10,235,0.042553191489
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ch,c,12,235,0.051063829787
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ch,ch,192,235,0.817021276596
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ch,m,0,235,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ch,p,3,235,0.012765957447
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,m,none,22,1080,0.020370370370
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,m,n,14,1080,0.012962962963
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,m,ng,13,1080,0.012037037037
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,m,nh,3,1080,0.002777777778
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,m,t,0,1080,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,m,c,3,1080,0.002777777778
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,m,ch,0,1080,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,m,m,1016,1080,0.940740740741
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,m,p,9,1080,0.008333333333
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,p,none,11,425,0.025882352941
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,p,n,3,425,0.007058823529
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,p,ng,2,425,0.004705882353
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,p,nh,1,425,0.002352941176
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,p,t,6,425,0.014117647059
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,p,c,11,425,0.025882352941
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,p,ch,0,425,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,p,m,2,425,0.004705882353
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,p,p,389,425,0.915294117647
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,none,none,0,101,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,none,n,28,101,0.277227722772
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,none,ng,26,101,0.257425742574
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,none,nh,6,101,0.059405940594
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,none,t,14,101,0.138613861386
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,none,c,9,101,0.089108910891
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,none,ch,2,101,0.019801980198
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,none,m,11,101,0.108910891089
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,none,p,5,101,0.049504950495
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,n,none,54,1214,0.044481054366
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,n,n,1069,1214,0.880560131796
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,n,ng,58,1214,0.047775947282
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,n,nh,14,1214,0.011532125206
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,n,t,5,1214,0.004118616145
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,n,c,4,1214,0.003294892916
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,n,ch,0,1214,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,n,m,10,1214,0.008237232290
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,n,p,0,1214,0.000000000000
