metric_version,dataset,model,model_size,train_type,lambda,seed,group_type,group_value,ref_tone,hyp_tone,count,ref_total,row_rate
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ngang,ngang,5761,5796,0.993961352657
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ngang,sac,9,5796,0.001552795031
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ngang,huyen,20,5796,0.003450655625
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ngang,hoi,3,5796,0.000517598344
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ngang,nga,1,5796,0.000172532781
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,ngang,nang,2,5796,0.000345065562
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,sac,ngang,24,4740,0.005063291139
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,sac,sac,4704,4740,0.992405063291
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,sac,huyen,4,4740,0.000843881857
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,sac,hoi,3,4740,0.000632911392
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,sac,nga,5,4740,0.001054852321
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,sac,nang,0,4740,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,huyen,ngang,9,3941,0.002283684344
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,huyen,sac,0,3941,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,huyen,huyen,3906,3941,0.991119005329
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,huyen,hoi,7,3941,0.001776198934
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,huyen,nga,0,3941,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,huyen,nang,19,3941,0.004821111393
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,hoi,ngang,0,1960,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,hoi,sac,5,1960,0.002551020408
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,hoi,huyen,5,1960,0.002551020408
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,hoi,hoi,1922,1960,0.980612244898
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,hoi,nga,17,1960,0.008673469388
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,hoi,nang,11,1960,0.005612244898
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,nga,ngang,5,1014,0.004930966469
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,nga,sac,0,1014,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,nga,huyen,0,1014,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,nga,hoi,14,1014,0.013806706114
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,nga,nga,989,1014,0.975345167653
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,nga,nang,6,1014,0.005917159763
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,nang,ngang,3,3240,0.000925925926
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,nang,sac,5,3240,0.001543209877
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,nang,huyen,13,3240,0.004012345679
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,nang,hoi,37,3240,0.011419753086
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,nang,nga,7,3240,0.002160493827
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,overall,nang,nang,3175,3240,0.979938271605
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,ngang,ngang,2184,2204,0.990925589837
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,ngang,sac,4,2204,0.001814882033
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,ngang,huyen,13,2204,0.005898366606
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,ngang,hoi,1,2204,0.000453720508
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,ngang,nga,0,2204,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,ngang,nang,2,2204,0.000907441016
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,sac,ngang,11,1786,0.006159014558
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,sac,sac,1766,1786,0.988801791713
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,sac,huyen,4,1786,0.002239641657
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,sac,hoi,3,1786,0.001679731243
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,sac,nga,2,1786,0.001119820829
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,sac,nang,0,1786,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,huyen,ngang,4,1497,0.002672010688
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,huyen,sac,0,1497,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,huyen,huyen,1480,1497,0.988643954576
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,huyen,hoi,4,1497,0.002672010688
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,huyen,nga,0,1497,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,huyen,nang,9,1497,0.006012024048
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,hoi,ngang,0,745,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,hoi,sac,4,745,0.005369127517
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,hoi,huyen,5,745,0.006711409396
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,hoi,hoi,722,745,0.969127516779
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,hoi,nga,7,745,0.009395973154
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,hoi,nang,7,745,0.009395973154
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,nga,ngang,2,377,0.005305039788
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,nga,sac,0,377,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,nga,huyen,0,377,0.000000000000
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,nga,hoi,6,377,0.015915119363
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,nga,nga,366,377,0.970822281167
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,nga,nang,3,377,0.007957559682
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,nang,ngang,3,1206,0.002487562189
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,nang,sac,1,1206,0.000829187396
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,nang,huyen,6,1206,0.004975124378
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,nang,hoi,13,1206,0.010779436153
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,nang,nga,3,1206,0.002487562189
aligned_v1,vivos,phowhisper,base,ordinary_lora,0,42,scope,low_snr,nang,nang,1180,1206,0.978441127695
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,ngang,ngang,5736,5776,0.993074792244
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,ngang,sac,11,5776,0.001904432133
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,ngang,huyen,24,5776,0.004155124654
aligned_v1,vivos,phowhisper,base,tone_aware_lora,0.05,42,scope,overall,ngang,hoi,2,5776,0.000346260388
