metric_version,decision_sha256,benchmark_sha256,comparison_set_sha256,dataset,split,pair_id,role_a,configuration_id_a,method_id_a,train_type_a,lambda_a,seed_a,prediction_sha256_a,role_b,configuration_id_b,method_id_b,train_type_b,lambda_b,seed_b,prediction_sha256_b,n_source_clusters,n_paired_conditions,metric,numerator_a,denominator_a,coverage_numerator_a,coverage_denominator_a,coverage_a,estimate_a,numerator_b,denominator_b,coverage_numerator_b,coverage_denominator_b,coverage_b,estimate_b,delta_b_minus_a,n_bootstrap,n_valid_bootstrap,ci_level,ci_lower,ci_upper,ci_excludes_zero,bootstrap_seed,bootstrap_unit,ci_method
aligned_v1,ccaeadc332fb38449fc6063143b190b1498e49dd2d6e39dd471a2174ab5aca8d,91e6256c34faf7d26ed459844bd6a3dc390337716d67801f0eca80dcc72bcede,e4f608434d4e2198d7770e3a4e2919a78647f53fe2357b66ce3b503ec68b1812,fleurs,test,ordinary_baseline_vs_selected_method,ordinary_baseline,phowhisper_base_lora_lambda_0,ordinary_lora,ordinary_lora,0,42,3ff89eaf1247c088a1b24a8b6c4e90cf88a7081ef9874a7c0aa996c51588e254,selected_method,phowhisper_base_tone_lora_lambda_005,corrected_decoder_tone_lora,tone_aware_lora,0.05,42,ad9bbfc00405c4eb6b7629adacd69ee52fab5130cfae58ffe5d9f177f48dd069,857,857,wer,4351,25958,25958,25958,1.000000000000,0.167616919639,4374,25958,25958,25958,1.000000000000,0.168502966330,0.000886046691,1000,1000,0.950000000000,-0.001581947669,0.003380102232,false,42,utt_id_singleton_external,paired_cluster_percentile_ratio_of_totals
aligned_v1,ccaeadc332fb38449fc6063143b190b1498e49dd2d6e39dd471a2174ab5aca8d,91e6256c34faf7d26ed459844bd6a3dc390337716d67801f0eca80dcc72bcede,e4f608434d4e2198d7770e3a4e2919a78647f53fe2357b66ce3b503ec68b1812,fleurs,test,ordinary_baseline_vs_selected_method,ordinary_baseline,phowhisper_base_lora_lambda_0,ordinary_lora,ordinary_lora,0,42,3ff89eaf1247c088a1b24a8b6c4e90cf88a7081ef9874a7c0aa996c51588e254,selected_method,phowhisper_base_tone_lora_lambda_005,corrected_decoder_tone_lora,tone_aware_lora,0.05,42,ad9bbfc00405c4eb6b7629adacd69ee52fab5130cfae58ffe5d9f177f48dd069,857,857,cer,11413,114793,114793,114793,1.000000000000,0.099422438650,11414,114793,114793,114793,1.000000000000,0.099431149983,0.000008711333,1000,1000,0.950000000000,-0.001642511436,0.001597614216,false,42,utt_id_singleton_external,paired_cluster_percentile_ratio_of_totals
aligned_v1,ccaeadc332fb38449fc6063143b190b1498e49dd2d6e39dd471a2174ab5aca8d,91e6256c34faf7d26ed459844bd6a3dc390337716d67801f0eca80dcc72bcede,e4f608434d4e2198d7770e3a4e2919a78647f53fe2357b66ce3b503ec68b1812,fleurs,test,ordinary_baseline_vs_selected_method,ordinary_baseline,phowhisper_base_lora_lambda_0,ordinary_lora,ordinary_lora,0,42,3ff89eaf1247c088a1b24a8b6c4e90cf88a7081ef9874a7c0aa996c51588e254,selected_method,phowhisper_base_tone_lora_lambda_005,corrected_decoder_tone_lora,tone_aware_lora,0.05,42,ad9bbfc00405c4eb6b7629adacd69ee52fab5130cfae58ffe5d9f177f48dd069,857,857,ter,248,23275,23275,25958,0.896640727329,0.010655209452,237,23268,23268,25958,0.896371060945,0.010185662713,-0.000469546739,1000,1000,0.950000000000,-0.001464749183,0.000429295160,false,42,utt_id_singleton_external,paired_cluster_percentile_ratio_of_totals
aligned_v1,ccaeadc332fb38449fc6063143b190b1498e49dd2d6e39dd471a2174ab5aca8d,91e6256c34faf7d26ed459844bd6a3dc390337716d67801f0eca80dcc72bcede,e4f608434d4e2198d7770e3a4e2919a78647f53fe2357b66ce3b503ec68b1812,fleurs,test,ordinary_baseline_vs_selected_method,ordinary_baseline,phowhisper_base_lora_lambda_0,ordinary_lora,ordinary_lora,0,42,3ff89eaf1247c088a1b24a8b6c4e90cf88a7081ef9874a7c0aa996c51588e254,selected_method,phowhisper_base_tone_lora_lambda_005,corrected_decoder_tone_lora,tone_aware_lora,0.05,42,ad9bbfc00405c4eb6b7629adacd69ee52fab5130cfae58ffe5d9f177f48dd069,857,857,der,134,23293,23293,25958,0.897334155174,0.005752801271,120,23280,23280,25958,0.896833346175,0.005154639175,-0.000598162096,1000,1000,0.950000000000,-0.001282926246,0.000006315637,false,42,utt_id_singleton_external,paired_cluster_percentile_ratio_of_totals
aligned_v1,ccaeadc332fb38449fc6063143b190b1498e49dd2d6e39dd471a2174ab5aca8d,91e6256c34faf7d26ed459844bd6a3dc390337716d67801f0eca80dcc72bcede,e4f608434d4e2198d7770e3a4e2919a78647f53fe2357b66ce3b503ec68b1812,fleurs,test,ordinary_baseline_vs_locked_control,ordinary_baseline,phowhisper_base_lora_lambda_0,ordinary_lora,ordinary_lora,0,42,3ff89eaf1247c088a1b24a8b6c4e90cf88a7081ef9874a7c0aa996c51588e254,locked_control,phowhisper_base_tone_lora_lambda_01,corrected_decoder_tone_lora,tone_aware_lora,0.1,42,173f297e7e0d743fbe6b2f33309c8a8d5e8004f30966e8b4cb12653bbe02d5f6,857,857,wer,4351,25958,25958,25958,1.000000000000,0.167616919639,4393,25958,25958,25958,1.000000000000,0.169234917944,0.001617998305,1000,1000,0.950000000000,-0.001425442046,0.004581770935,false,42,utt_id_singleton_external,paired_cluster_percentile_ratio_of_totals
aligned_v1,ccaeadc332fb38449fc6063143b190b1498e49dd2d6e39dd471a2174ab5aca8d,91e6256c34faf7d26ed459844bd6a3dc390337716d67801f0eca80dcc72bcede,e4f608434d4e2198d7770e3a4e2919a78647f53fe2357b66ce3b503ec68b1812,fleurs,test,ordinary_baseline_vs_locked_control,ordinary_baseline,phowhisper_base_lora_lambda_0,ordinary_lora,ordinary_lora,0,42,3ff89eaf1247c088a1b24a8b6c4e90cf88a7081ef9874a7c0aa996c51588e254,locked_control,phowhisper_base_tone_lora_lambda_01,corrected_decoder_tone_lora,tone_aware_lora,0.1,42,173f297e7e0d743fbe6b2f33309c8a8d5e8004f30966e8b4cb12653bbe02d5f6,857,857,cer,11413,114793,114793,114793,1.000000000000,0.099422438650,11405,114793,114793,114793,1.000000000000,0.099352747990,-0.000069690661,1000,1000,0.950000000000,-0.002386225636,0.002127858018,false,42,utt_id_singleton_external,paired_cluster_percentile_ratio_of_totals
aligned_v1,ccaeadc332fb38449fc6063143b190b1498e49dd2d6e39dd471a2174ab5aca8d,91e6256c34faf7d26ed459844bd6a3dc390337716d67801f0eca80dcc72bcede,e4f608434d4e2198d7770e3a4e2919a78647f53fe2357b66ce3b503ec68b1812,fleurs,test,ordinary_baseline_vs_locked_control,ordinary_baseline,phowhisper_base_lora_lambda_0,ordinary_lora,ordinary_lora,0,42,3ff89eaf1247c088a1b24a8b6c4e90cf88a7081ef9874a7c0aa996c51588e254,locked_control,phowhisper_base_tone_lora_lambda_01,corrected_decoder_tone_lora,tone_aware_lora,0.1,42,173f297e7e0d743fbe6b2f33309c8a8d5e8004f30966e8b4cb12653bbe02d5f6,857,857,ter,248,23275,23275,25958,0.896640727329,0.010655209452,227,23250,23250,25958,0.895677633100,0.009763440860,-0.000891768592,1000,1000,0.950000000000,-0.002864579401,0.000962990498,false,42,utt_id_singleton_external,paired_cluster_percentile_ratio_of_totals
aligned_v1,ccaeadc332fb38449fc6063143b190b1498e49dd2d6e39dd471a2174ab5aca8d,91e6256c34faf7d26ed459844bd6a3dc390337716d67801f0eca80dcc72bcede,e4f608434d4e2198d7770e3a4e2919a78647f53fe2357b66ce3b503ec68b1812,fleurs,test,ordinary_baseline_vs_locked_control,ordinary_baseline,phowhisper_base_lora_lambda_0,ordinary_lora,ordinary_lora,0,42,3ff89eaf1247c088a1b24a8b6c4e90cf88a7081ef9874a7c0aa996c51588e254,locked_control,phowhisper_base_tone_lora_lambda_01,corrected_decoder_tone_lora,tone_aware_lora,0.1,42,173f297e7e0d743fbe6b2f33309c8a8d5e8004f30966e8b4cb12653bbe02d5f6,857,857,der,134,23293,23293,25958,0.897334155174,0.005752801271,121,23269,23269,25958,0.896409584714,0.005200051571,-0.000552749700,1000,1000,0.950000000000,-0.001321113573,0.000179423340,false,42,utt_id_singleton_external,paired_cluster_percentile_ratio_of_totals
aligned_v1,ccaeadc332fb38449fc6063143b190b1498e49dd2d6e39dd471a2174ab5aca8d,91e6256c34faf7d26ed459844bd6a3dc390337716d67801f0eca80dcc72bcede,e4f608434d4e2198d7770e3a4e2919a78647f53fe2357b66ce3b503ec68b1812,fleurs,test,selected_method_vs_locked_control,selected_method,phowhisper_base_tone_lora_lambda_005,corrected_decoder_tone_lora,tone_aware_lora,0.05,42,ad9bbfc00405c4eb6b7629adacd69ee52fab5130cfae58ffe5d9f177f48dd069,locked_control,phowhisper_base_tone_lora_lambda_01,corrected_decoder_tone_lora,tone_aware_lora,0.1,42,173f297e7e0d743fbe6b2f33309c8a8d5e8004f30966e8b4cb12653bbe02d5f6,857,857,wer,4374,25958,25958,25958,1.000000000000,0.168502966330,4393,25958,25958,25958,1.000000000000,0.169234917944,0.000731951614,1000,1000,0.950000000000,-0.001222536301,0.002745660501,false,42,utt_id_singleton_external,paired_cluster_percentile_ratio_of_totals
aligned_v1,ccaeadc332fb38449fc6063143b190b1498e49dd2d6e39dd471a2174ab5aca8d,91e6256c34faf7d26ed459844bd6a3dc390337716d67801f0eca80dcc72bcede,e4f608434d4e2198d7770e3a4e2919a78647f53fe2357b66ce3b503ec68b1812,fleurs,test,selected_method_vs_locked_control,selected_method,phowhisper_base_tone_lora_lambda_005,corrected_decoder_tone_lora,tone_aware_lora,0.05,42,ad9bbfc00405c4eb6b7629adacd69ee52fab5130cfae58ffe5d9f177f48dd069,locked_control,phowhisper_base_tone_lora_lambda_01,corrected_decoder_tone_lora,tone_aware_lora,0.1,42,173f297e7e0d743fbe6b2f33309c8a8d5e8004f30966e8b4cb12653bbe02d5f6,857,857,cer,11414,114793,114793,114793,1.000000000000,0.099431149983,11405,114793,114793,114793,1.000000000000,0.099352747990,-0.000078401993,1000,1000,0.950000000000,-0.002030455645,0.001561682901,false,42,utt_id_singleton_external,paired_cluster_percentile_ratio_of_totals
