metric_version,dataset,model,model_size,train_type,lambda,seed,group_type,group_value,ref_coda,hyp_coda,count,ref_total,row_rate
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,none,none,0,391,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,none,n,112,391,0.286445012788
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,none,ng,36,391,0.092071611253
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,none,nh,20,391,0.051150895141
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,none,t,86,391,0.219948849105
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,none,c,30,391,0.076726342711
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,none,ch,2,391,0.005115089514
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,none,m,96,391,0.245524296675
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,none,p,9,391,0.023017902813
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,n,none,76,3214,0.023646546360
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,n,n,3001,3214,0.933727442439
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,n,ng,93,3214,0.028935905414
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,n,nh,28,3214,0.008711885501
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,n,t,6,3214,0.001866832607
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,n,c,3,3214,0.000933416304
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,n,ch,0,3214,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,n,m,7,3214,0.002177971375
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,n,p,0,3214,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,none,40,3282,0.012187690433
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,n,73,3282,0.022242535040
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,ng,3120,3282,0.950639853748
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,nh,8,3282,0.002437538087
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,t,2,3282,0.000609384522
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,c,3,3282,0.000914076782
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,ch,1,3282,0.000304692261
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,m,34,3282,0.010359536868
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ng,p,1,3282,0.000304692261
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nh,none,7,971,0.007209062822
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nh,n,15,971,0.015447991761
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nh,ng,3,971,0.003089598352
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nh,nh,941,971,0.969104016478
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nh,t,0,971,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nh,c,0,971,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nh,ch,0,971,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nh,m,5,971,0.005149330587
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nh,p,0,971,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,t,none,37,1615,0.022910216718
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,t,n,9,1615,0.005572755418
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,t,ng,2,1615,0.001238390093
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,t,nh,0,1615,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,t,t,1492,1615,0.923839009288
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,t,c,47,1615,0.029102167183
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,t,ch,8,1615,0.004953560372
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,t,m,4,1615,0.002476780186
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,t,p,16,1615,0.009907120743
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,c,none,38,2014,0.018867924528
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,c,n,6,2014,0.002979145978
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,c,ng,4,2014,0.001986097319
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,c,nh,1,2014,0.000496524330
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,c,t,24,2014,0.011916583913
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,c,c,1919,2014,0.952830188679
