metric_version,dataset,model,model_size,train_type,lambda,seed,group_type,group_value,ref_tone,hyp_tone,count,ref_total,row_rate
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ngang,ngang,5668,5686,0.996834329933
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ngang,sac,8,5686,0.001406964474
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ngang,huyen,5,5686,0.000879352796
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ngang,hoi,0,5686,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ngang,nga,0,5686,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,ngang,nang,5,5686,0.000879352796
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,sac,ngang,8,5323,0.001502911892
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,sac,sac,5310,5323,0.997557768176
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,sac,huyen,2,5323,0.000375727973
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,sac,hoi,1,5323,0.000187863986
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,sac,nga,1,5323,0.000187863986
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,sac,nang,1,5323,0.000187863986
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,huyen,ngang,6,4468,0.001342882722
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,huyen,sac,0,4468,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,huyen,huyen,4452,4468,0.996418979409
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,huyen,hoi,0,4468,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,huyen,nga,0,4468,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,huyen,nang,10,4468,0.002238137869
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,hoi,ngang,5,2558,0.001954652072
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,hoi,sac,10,2558,0.003909304144
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,hoi,huyen,0,2558,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,hoi,hoi,2532,2558,0.989835809226
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,hoi,nga,7,2558,0.002736512901
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,hoi,nang,4,2558,0.001563721658
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nga,ngang,2,1169,0.001710863986
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nga,sac,0,1169,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nga,huyen,2,1169,0.001710863986
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nga,hoi,15,1169,0.012831479897
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nga,nga,1149,1169,0.982891360137
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nga,nang,1,1169,0.000855431993
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nang,ngang,4,3953,0.001011889704
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nang,sac,0,3953,0.000000000000
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nang,huyen,9,3953,0.002276751834
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nang,hoi,21,3953,0.005312420946
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nang,nga,3,3953,0.000758917278
aligned_v1,fleurs,phowhisper,base,ordinary_lora,0,42,scope,overall,nang,nang,3916,3953,0.990640020238
