protocol_version,check_id,entity,split_a,split_b,status,overlap_count,total_a,total_b,details
vivos_exposure_aware_split_v2,no_speaker_overlap_train_dev,speaker,train,dev,PASS,0,36,10,none
vivos_exposure_aware_split_v2,no_speaker_overlap_train_official_test,speaker,train,official_test,PASS,0,36,19,none
vivos_exposure_aware_split_v2,no_speaker_overlap_dev_official_test,speaker,dev,official_test,PASS,0,10,19,none
vivos_exposure_aware_split_v2,no_utterance_overlap_train_dev,utterance,train,dev,PASS,0,8835,2825,none
vivos_exposure_aware_split_v2,no_utterance_overlap_train_official_test,utterance,train,official_test,PASS,0,8835,760,none
vivos_exposure_aware_split_v2,no_utterance_overlap_dev_official_test,utterance,dev,official_test,PASS,0,2825,760,none
vivos_exposure_aware_split_v2,no_audio_sha256_overlap_train_dev,audio_sha256,train,dev,PASS,0,8835,2825,none
vivos_exposure_aware_split_v2,no_audio_sha256_overlap_train_official_test,audio_sha256,train,official_test,PASS,0,8835,760,none
vivos_exposure_aware_split_v2,no_audio_sha256_overlap_dev_official_test,audio_sha256,dev,official_test,PASS,0,2825,760,none
vivos_exposure_aware_split_v2,no_utterance_overlap_test_legacy_exposed_test_locked,utterance,test_legacy_exposed,test_locked,PASS,0,300,460,none
vivos_exposure_aware_split_v2,no_audio_sha256_overlap_test_legacy_exposed_test_locked,audio_sha256,test_legacy_exposed,test_locked,PASS,0,300,460,none
vivos_exposure_aware_split_v2,official_train_partition_identity,utterance,official_train,train_plus_dev,PASS,0,11660,11660,none
vivos_exposure_aware_split_v2,official_test_partition_identity,utterance,official_test,legacy_exposed_plus_test_locked,PASS,0,760,760,none
vivos_exposure_aware_split_v2,legacy_exposure_evidence_identity,utterance,legacy_benchmark_evidence,test_legacy_exposed,PASS,0,300,300,none
vivos_exposure_aware_split_v2,replica_family_split_uniqueness,source_utt_id,all,all,PASS,0,12420,12420,none
