model,model_size,train_type,lambda,seed,split,snr,noise_type,num_samples,wer,cer,ter,der,fcer,swdr,checkpoint_path,prediction_path
phowhisper,base,ordinary_lora,0,42,all,all,all,1500,0.1324624428478119,0.07289142680762405,0.09876543209876543,0.03564326143490898,0.07635402906208719,0.005673758865248227,outputs\phat\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,clean,clean,clean,300,0.07446113651208361,0.03271857396404044,0.05388634879163945,0.013400941687794278,0.03500660501981506,0.005319148936170213,outputs\phat\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,noisy_all,all,1200,0.14696276943174397,0.08293464001851995,0.10998611904956315,0.04159798312809076,0.08669088507265522,0.00576241134751773,outputs\phat\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,20,all,300,0.08360548661005879,0.03858322401419863,0.06270411495754409,0.016825164594001463,0.04227212681638045,0.005319148936170213,outputs\phat\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,10,all,300,0.10548661005878511,0.05224168531522494,0.06956237753102547,0.02271880819366853,0.059445178335535004,0.005319148936170213,outputs\phat\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,5,all,300,0.1495754408883083,0.08303109807855544,0.1077726975832789,0.04247104247104247,0.08256274768824307,0.0070921985815602835,outputs\phat\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,0,all,300,0.24918354016982364,0.15788255266610077,0.19993466187520417,0.0920138888888889,0.16248348745046234,0.005319148936170213,outputs\phat\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,all,music,394,0.11992216005837995,0.06047787812964445,0.08175182481751825,0.019846895378508648,0.07017543859649122,0.00801068090787717,outputs\phat\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,all,noise,556,0.10907811400422238,0.05440339138024188,0.0784658691062632,0.01938379922464803,0.07069635913750442,0.003838771593090211,outputs\phat\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,all,speech,250,0.28006522625356706,0.18791946308724833,0.23033020790868325,0.140053050397878,0.15404255319148935,0.0064516129032258064,outputs\phat\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,0,music,93,0.20772442588726514,0.11215647437484526,0.14629049111807732,0.036061026352288486,0.141280353200883,0.005376344086021506,outputs\phat\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,0,noise,145,0.1334214002642008,0.07243679230649915,0.08850726552179657,0.024143302180685357,0.09884467265725289,0.0,outputs\phat\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,0,speech,62,0.6135593220338983,0.4553174282248281,0.5728813559322034,0.5183946488294314,0.3723404255319149,0.01639344262295082,outputs\phat\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,10,music,97,0.09082125603864734,0.04420387911592242,0.057971014492753624,0.015267175572519083,0.04789272030651341,0.005714285714285714,outputs\phat\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,10,noise,139,0.10732054015636106,0.048115746971736206,0.06751954513148543,0.014026402640264026,0.06762589928057554,0.007434944237918215,outputs\phat\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,10,speech,64,0.12580645161290321,0.0755521115846571,0.0935483870967742,0.0539568345323741,0.06060606060606061,0.0,outputs\phat\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,20,music,96,0.0688298918387414,0.031968721251149954,0.05014749262536873,0.012834224598930482,0.02895752895752896,0.01098901098901099,outputs\phat\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,20,noise,145,0.07903780068728522,0.03708502024291498,0.07560137457044673,0.01638065522620905,0.0453920220082531,0.0,outputs\phat\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,20,speech,59,0.12033898305084746,0.054187192118226604,0.05254237288135593,0.025145067698259187,0.05947955390334572,0.008547008547008548,outputs\phat\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,5,music,108,0.11807447774750227,0.0577787288679649,0.07720254314259764,0.018867924528301886,0.07155635062611806,0.009708737864077669,outputs\phat\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,5,noise,127,0.1162079510703364,0.05950864422202002,0.08180428134556575,0.02315227070347284,0.06847133757961783,0.007936507936507936,outputs\phat\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,5,speech,65,0.26952526799387444,0.17162307416696523,0.2113323124042879,0.1286549707602339,0.12844036697247707,0.0,outputs\phat\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,tone_aware_lora,0.05,42,all,all,all,1500,0.1288700195950359,0.07017516783702446,0.09445424260239076,0.03136474908200734,0.07648612945838837,0.006028368794326241,outputs\phat\checkpoints\ckpt_tone_lora_lambda_005\final,outputs\phat\predictions\pred_tone_lora_lambda_005.csv
phowhisper,base,tone_aware_lora,0.05,42,clean,clean,clean,300,0.07348138471587198,0.032795740412068834,0.05225342913128674,0.012653651482284888,0.036988110964332896,0.005319148936170213,outputs\phat\checkpoints\ckpt_tone_lora_lambda_005\final,outputs\phat\predictions\pred_tone_lora_lambda_005.csv
phowhisper,base,tone_aware_lora,0.05,42,noisy,noisy_all,all,1200,0.14271717831482691,0.07952002469326337,0.10500530742222586,0.0363865709295556,0.08636063408190224,0.0062056737588652485,outputs\phat\checkpoints\ckpt_tone_lora_lambda_005\final,outputs\phat\predictions\pred_tone_lora_lambda_005.csv
phowhisper,base,tone_aware_lora,0.05,42,noisy,20,all,300,0.08458523840627041,0.039432054942510994,0.06107119529719138,0.016483516483516484,0.04227212681638045,0.005319148936170213,outputs\phat\checkpoints\ckpt_tone_lora_lambda_005\final,outputs\phat\predictions\pred_tone_lora_lambda_005.csv
phowhisper,base,tone_aware_lora,0.05,42,noisy,10,all,300,0.1038536903984324,0.05162435373099776,0.06988896146309602,0.022338049143708117,0.058784676354029064,0.005319148936170213,outputs\phat\checkpoints\ckpt_tone_lora_lambda_005\final,outputs\phat\predictions\pred_tone_lora_lambda_005.csv
phowhisper,base,tone_aware_lora,0.05,42,noisy,5,all,300,0.14598301763553234,0.08017593950150474,0.10450685826257348,0.04116968064640246,0.083223249669749,0.008865248226950355,outputs\phat\checkpoints\ckpt_tone_lora_lambda_005\final,outputs\phat\predictions\pred_tone_lora_lambda_005.csv
phowhisper,base,tone_aware_lora,0.05,42,noisy,0,all,300,0.2364467668190725,0.14684775059803998,0.18458020254818686,0.07114797031863815,0.16116248348745046,0.005319148936170213,outputs\phat\checkpoints\ckpt_tone_lora_lambda_005\final,outputs\phat\predictions\pred_tone_lora_lambda_005.csv
phowhisper,base,tone_aware_lora,0.05,42,noisy,all,music,394,0.12332765750425687,0.061678289699325484,0.08077858880778589,0.019044911881750996,0.07407407407407407,0.009345794392523364,outputs\phat\checkpoints\ckpt_tone_lora_lambda_005\final,outputs\phat\predictions\pred_tone_lora_lambda_005.csv
phowhisper,base,tone_aware_lora,0.05,42,noisy,all,noise,556,0.10890218156228008,0.055691783383899254,0.07881773399014778,0.02000408246580935,0.07104984093319194,0.003838771593090211,outputs\phat\checkpoints\ckpt_tone_lora_lambda_005\final,outputs\phat\predictions\pred_tone_lora_lambda_005.csv
phowhisper,base,tone_aware_lora,0.05,42,noisy,all,speech,250,0.2535670607419486,0.16564536523684467,0.2062780269058296,0.1111699311805188,0.14468085106382977,0.0064516129032258064,outputs\phat\checkpoints\ckpt_tone_lora_lambda_005\final,outputs\phat\predictions\pred_tone_lora_lambda_005.csv
phowhisper,base,tone_aware_lora,0.05,42,noisy,0,music,93,0.21711899791231734,0.11834612527853429,0.14733542319749215,0.03361344537815126,0.1479028697571744,0.005376344086021506,outputs\phat\checkpoints\ckpt_tone_lora_lambda_005\final,outputs\phat\predictions\pred_tone_lora_lambda_005.csv
phowhisper,base,tone_aware_lora,0.05,42,noisy,0,noise,145,0.13540290620871862,0.07631456491391345,0.0891677675033025,0.02654176424668228,0.0975609756097561,0.0,outputs\phat\checkpoints\ckpt_tone_lora_lambda_005\final,outputs\phat\predictions\pred_tone_lora_lambda_005.csv
phowhisper,base,tone_aware_lora,0.05,42,noisy,0,speech,62,0.5271186440677966,0.3772745653052972,0.48983050847457626,0.3547297297297297,0.35815602836879434,0.01639344262295082,outputs\phat\checkpoints\ckpt_tone_lora_lambda_005\final,outputs\phat\predictions\pred_tone_lora_lambda_005.csv
phowhisper,base,tone_aware_lora,0.05,42,noisy,10,music,97,0.0927536231884058,0.04555705908885882,0.05893719806763285,0.015300546448087432,0.05172413793103448,0.005714285714285714,outputs\phat\checkpoints\ckpt_tone_lora_lambda_005\final,outputs\phat\predictions\pred_tone_lora_lambda_005.csv
phowhisper,base,tone_aware_lora,0.05,42,noisy,10,noise,139,0.10660980810234541,0.04845222072678331,0.06751954513148543,0.014827018121911038,0.06762589928057554,0.007434944237918215,outputs\phat\checkpoints\ckpt_tone_lora_lambda_005\final,outputs\phat\predictions\pred_tone_lora_lambda_005.csv
phowhisper,base,tone_aware_lora,0.05,42,noisy,10,speech,64,0.11612903225806452,0.06935296396745448,0.0935483870967742,0.05026929982046679,0.050505050505050504,0.0,outputs\phat\checkpoints\ckpt_tone_lora_lambda_005\final,outputs\phat\predictions\pred_tone_lora_lambda_005.csv
phowhisper,base,tone_aware_lora,0.05,42,noisy,20,music,96,0.07177974434611603,0.03357865685372585,0.048180924287118974,0.012875536480686695,0.02895752895752896,0.01098901098901099,outputs\phat\checkpoints\ckpt_tone_lora_lambda_005\final,outputs\phat\predictions\pred_tone_lora_lambda_005.csv
phowhisper,base,tone_aware_lora,0.05,42,noisy,20,noise,145,0.07972508591065292,0.03854251012145749,0.07697594501718213,0.01641907740422205,0.048143053645116916,0.0,outputs\phat\checkpoints\ckpt_tone_lora_lambda_005\final,outputs\phat\predictions\pred_tone_lora_lambda_005.csv
phowhisper,base,tone_aware_lora,0.05,42,noisy,20,speech,59,0.11864406779661017,0.05213464696223317,0.04406779661016949,0.023121387283236993,0.05204460966542751,0.008547008547008548,outputs\phat\checkpoints\ckpt_tone_lora_lambda_005\final,outputs\phat\predictions\pred_tone_lora_lambda_005.csv
phowhisper,base,tone_aware_lora,0.05,42,noisy,5,music,108,0.11807447774750227,0.05414080890220415,0.07356948228882834,0.017763845350052248,0.07692307692307693,0.014563106796116505,outputs\phat\checkpoints\ckpt_tone_lora_lambda_005\final,outputs\phat\predictions\pred_tone_lora_lambda_005.csv
phowhisper,base,tone_aware_lora,0.05,42,noisy,5,noise,127,0.11314984709480122,0.05859872611464968,0.08103975535168195,0.022222222222222223,0.06847133757961783,0.007936507936507936,outputs\phat\checkpoints\ckpt_tone_lora_lambda_005\final,outputs\phat\predictions\pred_tone_lora_lambda_005.csv
phowhisper,base,tone_aware_lora,0.05,42,noisy,5,speech,65,0.25880551301684535,0.16624865639555714,0.20367534456355282,0.12572533849129594,0.12232415902140673,0.0,outputs\phat\checkpoints\ckpt_tone_lora_lambda_005\final,outputs\phat\predictions\pred_tone_lora_lambda_005.csv
phowhisper,base,tone_aware_lora,0.1,42,all,all,all,1500,0.13037230568256042,0.07168763021838105,0.09517277418511987,0.033009857110109266,0.07582562747688243,0.005673758865248227,outputs\phat\checkpoints\ckpt_tone_lora_lambda_01\final,outputs\phat\predictions\pred_tone_lora_lambda_01.csv
phowhisper,base,tone_aware_lora,0.1,42,clean,clean,clean,300,0.07478772044415415,0.033413071996296013,0.05323318092749837,0.013381555153707052,0.03632760898282695,0.005319148936170213,outputs\phat\checkpoints\ckpt_tone_lora_lambda_01\final,outputs\phat\predictions\pred_tone_lora_lambda_01.csv
phowhisper,base,tone_aware_lora,0.1,42,noisy,noisy_all,all,1200,0.14426845199216198,0.08125626977390231,0.10565852861925369,0.03826777756248789,0.0857001321003963,0.00576241134751773,outputs\phat\checkpoints\ckpt_tone_lora_lambda_01\final,outputs\phat\predictions\pred_tone_lora_lambda_01.csv
phowhisper,base,tone_aware_lora,0.1,42,noisy,20,all,300,0.0852384062704115,0.03920055559842581,0.0581319399085565,0.016087751371115174,0.04491413474240423,0.0035460992907801418,outputs\phat\checkpoints\ckpt_tone_lora_lambda_01\final,outputs\phat\predictions\pred_tone_lora_lambda_01.csv
phowhisper,base,tone_aware_lora,0.1,42,noisy,10,all,300,0.10222077073807968,0.051084188594798983,0.06662312214239059,0.020763811642565813,0.05680317040951123,0.005319148936170213,outputs\phat\checkpoints\ckpt_tone_lora_lambda_01\final,outputs\phat\predictions\pred_tone_lora_lambda_01.csv
phowhisper,base,tone_aware_lora,0.1,42,noisy,5,all,300,0.15022860875244937,0.084497260591095,0.1077726975832789,0.045804464973056194,0.0845442536327609,0.008865248226950355,outputs\phat\checkpoints\ckpt_tone_lora_lambda_01\final,outputs\phat\predictions\pred_tone_lora_lambda_01.csv
phowhisper,base,tone_aware_lora,0.1,42,noisy,0,all,300,0.23938602220770738,0.15024307431128944,0.19013394315583143,0.07678883071553229,0.15653896961690886,0.005319148936170213,outputs\phat\checkpoints\ckpt_tone_lora_lambda_01\final,outputs\phat\predictions\pred_tone_lora_lambda_01.csv
phowhisper,base,tone_aware_lora,0.1,42,noisy,all,music,394,0.12113840914619314,0.060878015319538126,0.07907542579075426,0.017882486517172863,0.07309941520467836,0.009345794392523364,outputs\phat\checkpoints\ckpt_tone_lora_lambda_01\final,outputs\phat\predictions\pred_tone_lora_lambda_01.csv
phowhisper,base,tone_aware_lora,0.1,42,noisy,all,noise,556,0.1085503166783955,0.05502680686588255,0.07565095003518649,0.019164118246687054,0.06963591375044186,0.003838771593090211,outputs\phat\checkpoints\ckpt_tone_lora_lambda_01\final,outputs\phat\predictions\pred_tone_lora_lambda_01.csv
phowhisper,base,tone_aware_lora,0.1,42,noisy,all,speech,250,0.2657969832857725,0.17731738157766755,0.21973094170403587,0.12565997888067582,0.14638297872340425,0.004301075268817204,outputs\phat\checkpoints\ckpt_tone_lora_lambda_01\final,outputs\phat\predictions\pred_tone_lora_lambda_01.csv
phowhisper,base,tone_aware_lora,0.1,42,noisy,0,music,93,0.2139874739039666,0.11760336717009161,0.14420062695924765,0.030726256983240222,0.1456953642384106,0.005376344086021506,outputs\phat\checkpoints\ckpt_tone_lora_lambda_01\final,outputs\phat\predictions\pred_tone_lora_lambda_01.csv
phowhisper,base,tone_aware_lora,0.1,42,noisy,0,noise,145,0.13276089828269486,0.07321234682798201,0.08256274768824307,0.02336448598130841,0.09370988446726572,0.0,outputs\phat\checkpoints\ckpt_tone_lora_lambda_01\final,outputs\phat\predictions\pred_tone_lora_lambda_01.csv
phowhisper,base,tone_aware_lora,0.1,42,noisy,0,speech,62,0.5542372881355933,0.4043671653861706,0.5406779661016949,0.4246575342465753,0.3475177304964539,0.01639344262295082,outputs\phat\checkpoints\ckpt_tone_lora_lambda_01\final,outputs\phat\predictions\pred_tone_lora_lambda_01.csv
phowhisper,base,tone_aware_lora,0.1,42,noisy,10,music,97,0.0927536231884058,0.04668470906630582,0.057971014492753624,0.015317286652078774,0.05172413793103448,0.005714285714285714,outputs\phat\checkpoints\ckpt_tone_lora_lambda_01\final,outputs\phat\predictions\pred_tone_lora_lambda_01.csv
phowhisper,base,tone_aware_lora,0.1,42,noisy,10,noise,139,0.10376687988628287,0.04727456258411844,0.06751954513148543,0.013968775677896467,0.06330935251798561,0.007434944237918215,outputs\phat\checkpoints\ckpt_tone_lora_lambda_01\final,outputs\phat\predictions\pred_tone_lora_lambda_01.csv
phowhisper,base,tone_aware_lora,0.1,42,noisy,10,speech,64,0.11451612903225807,0.06741573033707865,0.07903225806451612,0.044169611307420496,0.050505050505050504,0.0,outputs\phat\checkpoints\ckpt_tone_lora_lambda_01\final,outputs\phat\predictions\pred_tone_lora_lambda_01.csv
phowhisper,base,tone_aware_lora,0.1,42,noisy,20,music,96,0.07177974434611603,0.03288868445262189,0.048180924287118974,0.012875536480686695,0.03088803088803089,0.01098901098901099,outputs\phat\checkpoints\ckpt_tone_lora_lambda_01\final,outputs\phat\predictions\pred_tone_lora_lambda_01.csv
phowhisper,base,tone_aware_lora,0.1,42,noisy,20,noise,145,0.08109965635738832,0.03919028340080972,0.07147766323024055,0.01638065522620905,0.04951856946354883,0.0,outputs\phat\checkpoints\ckpt_tone_lora_lambda_01\final,outputs\phat\predictions\pred_tone_lora_lambda_01.csv
phowhisper,base,tone_aware_lora,0.1,42,noisy,20,speech,59,0.11864406779661017,0.050492610837438424,0.0423728813559322,0.02111324376199616,0.05947955390334572,0.0,outputs\phat\checkpoints\ckpt_tone_lora_lambda_01\final,outputs\phat\predictions\pred_tone_lora_lambda_01.csv
