model,model_size,train_type,lambda,seed,split,snr,noise_type,num_samples,wer,cer,ter,der,fcer,swdr,checkpoint_path,prediction_path
phowhisper,base,ordinary_lora,0,42,all,all,all,5,0.18461538461538463,0.08421052631578947,0.0,0.0,0.26666666666666666,0.0,outputs\phat\smoke\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\smoke\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,clean,clean,clean,1,0.15384615384615385,0.05263157894736842,0.0,0.0,0.16666666666666666,0.0,outputs\phat\smoke\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\smoke\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,noisy_all,all,4,0.19230769230769232,0.09210526315789473,0.0,0.0,0.2916666666666667,0.0,outputs\phat\smoke\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\smoke\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,20,all,1,0.15384615384615385,0.03508771929824561,0.0,0.0,0.3333333333333333,0.0,outputs\phat\smoke\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\smoke\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,10,all,1,0.07692307692307693,0.017543859649122806,0.0,0.0,0.16666666666666666,0.0,outputs\phat\smoke\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\smoke\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,5,all,1,0.3076923076923077,0.19298245614035087,0.0,0.0,0.3333333333333333,0.0,outputs\phat\smoke\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\smoke\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,0,all,1,0.23076923076923078,0.12280701754385964,0.0,0.0,0.3333333333333333,0.0,outputs\phat\smoke\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\smoke\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,all,music,1,0.23076923076923078,0.12280701754385964,0.0,0.0,0.3333333333333333,0.0,outputs\phat\smoke\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\smoke\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,all,noise,2,0.19230769230769232,0.10526315789473684,0.0,0.0,0.25,0.0,outputs\phat\smoke\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\smoke\predictions\pred_lora_ordinary_lambda0.csv
phowhisper,base,ordinary_lora,0,42,noisy,all,speech,1,0.15384615384615385,0.03508771929824561,0.0,0.0,0.3333333333333333,0.0,outputs\phat\smoke\checkpoints\ckpt_lora_ordinary_lambda0\final,outputs\phat\smoke\predictions\pred_lora_ordinary_lambda0.csv
