model,model_size,snr,n,wer,cer,ter_simple,der_simple,fcer_simple,swdr_simple
whisper,tiny,clean,300,0.49477465708687135,0.24400030866579211,0.3148269105160026,0.14837153196622438,0.3011889035667107,0.01950354609929078
whisper,tiny,20,300,0.5558458523840627,0.2897600123466317,0.3804702808621816,0.24780426599749059,0.309775429326288,0.01773049645390071
whisper,tiny,10,300,0.6681907250163291,0.39941353499498417,0.4830176355323318,0.38390966831333806,0.3797886393659181,0.026595744680851064
whisper,tiny,5,300,0.8344219464402352,0.5583764179334825,0.6548007838014369,0.7175379426644182,0.45178335535006603,0.047872340425531915
whisper,tiny,0,300,1.1404310907903332,0.8391851223088201,0.9467668190725016,1.5449101796407185,0.5568031704095112,0.03546099290780142
whisper,tiny,noisy_all,1200,0.79972240365774,0.5216837718959796,0.616263879817113,0.6420465474129641,0.42453764861294585,0.031914893617021274
whisper,tiny,all,1500,0.7387328543435663,0.46614707924994214,0.555976485956891,0.5226775557824122,0.3998678996036988,0.029432624113475178
whisper,base,clean,300,0.3726322664924886,0.18280731537927308,0.23318092749836708,0.09984947315604616,0.24438573315719947,0.015957446808510637
whisper,base,20,300,0.3798171129980405,0.18774596805309052,0.23709993468321358,0.10612244897959183,0.2536327608982827,0.015957446808510637
whisper,base,10,300,0.4359895493141737,0.23111351184504977,0.2880470280862182,0.14789108382274427,0.28335535006605017,0.014184397163120567
whisper,base,5,300,0.49444807315480077,0.27216606219615713,0.3242978445460483,0.15334517465956188,0.3474240422721268,0.01773049645390071
whisper,base,0,300,0.7883736120182887,0.5410139671270932,0.6120182887001959,0.6316526610644257,0.44914134742404227,0.051418439716312055
whisper,base,noisy_all,1200,0.524657086871326,0.3080098773053476,0.365365774003919,0.2368345323741007,0.3333883751651255,0.024822695035460994
whisper,base,all,1500,0.49425212279555847,0.28296936492013275,0.3389288047028086,0.20630660852063065,0.3155878467635403,0.02304964539007092
whisper,small,clean,300,0.28118876551273675,0.15819121845821438,0.197583278902678,0.12614107883817427,0.1499339498018494,0.01773049645390071
whisper,small,20,300,0.2635532331809275,0.14414692491704606,0.17929457870672763,0.10153974198918019,0.14663143989431968,0.015957446808510637
whisper,small,10,300,0.27792292619203135,0.1437610926769041,0.17733507511430438,0.09067357512953368,0.17107001321003962,0.010638297872340425
whisper,small,5,300,0.32135858915741344,0.1821128173470175,0.21881123448726322,0.10411846367422489,0.20409511228533686,0.01950354609929078
whisper,small,0,300,0.47419986936642716,0.30233814337526044,0.35467015022860876,0.24038954382368016,0.27807133421400265,0.02127659574468085
whisper,small,noisy_all,1200,0.3342586544741999,0.19308974457905703,0.232527759634226,0.12999660287623147,0.19996697490092472,0.016843971631205674
whisper,small,all,1500,0.3236446766819073,0.18611003935488848,0.2255388634879164,0.12917000266880171,0.18996036988110965,0.01702127659574468
phowhisper,tiny,clean,300,0.0999346832135859,0.04244154641561849,0.06335728282168518,0.018154872174879585,0.05680317040951123,0.0035460992907801418
